order_id,order_datetime,order_date,customer_id,channel,location,payment_method,status,subtotal_eur,discount_eur,delivery_fee_eur,total_revenue_eur,estimated_profit_eur
87,2025-01-05 20:30:00,2025-01-05,263,Takeaway,Online,Cash,Completed,22.5,0.0,0.0,22.5,14.8
88,2025-01-05 13:30:00,2025-01-05,422,Dine-in,Terrace,Card,Completed,49.0,2.45,0.0,46.55,26.55
89,2025-01-05 20:35:00,2025-01-05,230,Dine-in,Main Hall,Card,Completed,8.5,0.0,0.0,8.5,5.6
90,2025-01-05 19:00:00,2025-01-05,474,Dine-in,Terrace,Card,Cancelled,0.0,0.0,0.0,0.0,0.0
91,2025-01-05 12:05:00,2025-01-05,34,Dine-in,Bar,Online,Completed,23.0,0.0,0.0,23.0,14.3
92,2025-01-05 09:00:00,2025-01-05,113,Delivery,Online,Card,Completed,21.0,0.0,3.0,24.0,16.8
93,2025-01-05 21:15:00,2025-01-05,444,Delivery,Online,Card,Completed,27.0,0.0,3.0,30.0,21.0
94,2025-01-05 20:45:00,2025-01-05,428,Takeaway,Online,Online,Completed,4.0,0.0,0.0,4.0,2.9
95,2025-01-05 12:10:00,2025-01-05,483,Dine-in,Terrace,Card,Completed,95.0,4.75,0.0,90.25,47.55
96,2025-01-05 19:45:00,2025-01-05,261,Takeaway,Online,Card,Completed,32.5,0.0,0.0,32.5,20.2
97,2025-01-05 21:35:00,2025-01-05,256,Dine-in,Bar,Card,Cancelled,0.0,0.0,0.0,0.0,0.0
98,2025-01-05 13:25:00,2025-01-05,190,Delivery,Online,Online,Completed,9.0,0.0,0.0,9.0,5.9
99,2025-01-05 12:45:00,2025-01-05,400,Delivery,Online,Card,Completed,9.5,0.0,0.0,9.5,5.9
100,2025-01-05 21:55:00,2025-01-05,488,Dine-in,Main Hall,Cash,Completed,13.5,0.0,0.0,13.5,9.4
101,2025-01-06 20:10:00,2025-01-06,39,Delivery,Online,Card,Completed,52.3,2.62,0.0,49.68,25.68
102,2025-01-06 21:05:00,2025-01-06,256,Takeaway,Online,Online,Cancelled,0.0,0.0,0.0,0.0,0.0
103,2025-01-06 18:20:00,2025-01-06,353,Takeaway,Online,Cash,Completed,31.0,0.0,0.0,31.0,20.3
104,2025-01-06 18:30:00,2025-01-06,72,Dine-in,Terrace,Card,Completed,58.0,2.9,0.0,55.1,33.9
105,2025-01-06 21:15:00,2025-01-06,420,Dine-in,Main Hall,Online,Completed,5.0,0.0,0.0,5.0,3.3
106,2025-01-06 18:50:00,2025-01-06,437,Dine-in,Main Hall,Online,Completed,27.0,0.0,0.0,27.0,16.8
107,2025-01-06 11:20:00,2025-01-06,132,Dine-in,Bar,Card,Completed,39.5,0.0,0.0,39.5,25.0
108,2025-01-06 18:05:00,2025-01-06,57,Dine-in,Bar,Cash,Completed,48.0,2.4,0.0,45.6,25.2
109,2025-01-06 20:25:00,2025-01-06,188,Delivery,Online,Online,Completed,4.5,0.0,2.5,7.0,5.6
110,2025-01-06 18:50:00,2025-01-06,117,Delivery,Online,Cash,Completed,17.0,0.0,0.0,17.0,10.8
111,2025-01-06 14:40:00,2025-01-06,251,Delivery,Online,Cash,Completed,14.5,0.0,0.0,14.5,9.6
112,2025-01-06 19:00:00,2025-01-06,47,Delivery,Online,Online,Completed,19.5,0.0,0.0,19.5,12.5
113,2025-01-06 20:35:00,2025-01-06,493,Takeaway,Online,Online,Completed,45.5,2.28,0.0,43.22,23.62
114,2025-01-07 11:25:00,2025-01-07,231,Delivery,Online,Card,Completed,44.5,2.22,0.0,42.28,25.98
115,2025-01-07 18:35:00,2025-01-07,106,Dine-in,Bar,Online,Completed,44.0,2.2,0.0,41.8,22.1
116,2025-01-07 12:10:00,2025-01-07,44,Dine-in,Bar,Card,Completed,11.0,0.0,0.0,11.0,7.4
117,2025-01-07 17:50:00,2025-01-07,196,Dine-in,Terrace,Cash,Completed,9.5,0.0,0.0,9.5,5.9
118,2025-01-07 18:40:00,2025-01-07,148,Dine-in,Terrace,Cash,Completed,67.5,3.38,0.0,64.12,31.32
119,2025-01-07 16:55:00,2025-01-07,218,Dine-in,Bar,Card,Completed,7.3,0.0,0.0,7.3,5.4
120,2025-01-07 13:15:00,2025-01-07,196,Dine-in,Main Hall,Card,Completed,37.5,0.0,0.0,37.5,24.6
121,2025-01-07 13:35:00,2025-01-07,98,Dine-in,Main Hall,Online,Completed,25.3,0.0,0.0,25.3,16.5
122,2025-01-07 19:45:00,2025-01-07,435,Takeaway,Online,Card,Completed,9.0,0.0,0.0,9.0,5.9
123,2025-01-07 18:30:00,2025-01-07,99,Dine-in,Terrace,Online,Completed,11.3,0.0,0.0,11.3,7.8
124,2025-01-07 09:25:00,2025-01-07,214,Dine-in,Main Hall,Card,Completed,55.0,2.75,0.0,52.25,26.45
125,2025-01-07 16:25:00,2025-01-07,387,Delivery,Online,Card,Completed,25.0,0.0,0.0,25.0,16.1
126,2025-01-07 20:25:00,2025-01-07,268,Takeaway,Online,Cash,Completed,49.6,2.48,0.0,47.12,29.62
127,2025-01-07 13:45:00,2025-01-07,268,Dine-in,Bar,Card,Completed,20.5,0.0,0.0,20.5,14.0
128,2025-01-07 21:40:00,2025-01-07,8,Delivery,Online,Online,Completed,24.0,0.0,3.5,27.5,18.5
129,2025-01-07 08:15:00,2025-01-07,137,Delivery,Online,Online,Completed,52.9,2.65,0.0,50.25,28.85
130,2025-01-07 10:55:00,2025-01-07,418,Dine-in,Terrace,Card,Completed,51.0,2.55,0.0,48.45,29.85
131,2025-01-07 16:15:00,2025-01-07,131,Delivery,Online,Card,Completed,15.1,0.0,2.5,17.6,13.2
132,2025-01-07 19:50:00,2025-01-07,75,Takeaway,Online,Cash,Completed,24.5,0.0,0.0,24.5,16.4
133,2025-01-07 19:35:00,2025-01-07,212,Delivery,Online,Card,Completed,18.0,0.0,3.5,21.5,15.0
134,2025-01-08 20:05:00,2025-01-08,409,Dine-in,Terrace,Online,Completed,2.8,0.0,0.0,2.8,2.2
135,2025-01-08 12:55:00,2025-01-08,484,Delivery,Online,Online,Completed,50.5,2.53,0.0,47.97,26.27
136,2025-01-08 13:50:00,2025-01-08,328,Dine-in,Bar,Online,Completed,50.0,5.0,0.0,45.0,24.8
137,2025-01-08 14:40:00,2025-01-08,201,Delivery,Online,Card,Cancelled,0.0,0.0,0.0,0.0,0.0
138,2025-01-08 18:30:00,2025-01-08,265,Dine-in,Bar,Online,Completed,6.8,0.0,0.0,6.8,5.1
139,2025-01-08 18:25:00,2025-01-08,196,Dine-in,Bar,Online,Completed,45.5,4.55,0.0,40.95,21.85
140,2025-01-08 16:20:00,2025-01-08,255,Takeaway,Online,Card,Completed,14.0,0.0,0.0,14.0,9.5
141,2025-01-08 13:05:00,2025-01-08,35,Delivery,Online,Card,Completed,44.0,2.2,3.0,44.8,27.2
142,2025-01-08 19:25:00,2025-01-08,232,Delivery,Online,Card,Completed,47.0,2.35,2.5,47.15,30.05
143,2025-01-09 11:40:00,2025-01-09,210,Dine-in,Bar,Card,Completed,9.0,0.0,0.0,9.0,5.9
144,2025-01-09 12:15:00,2025-01-09,441,Dine-in,Bar,Card,Completed,16.0,0.0,0.0,16.0,10.3
145,2025-01-09 16:55:00,2025-01-09,486,Delivery,Online,Online,Completed,23.8,0.0,0.0,23.8,16.2
146,2025-01-09 18:40:00,2025-01-09,305,Takeaway,Online,Card,Completed,18.5,0.0,0.0,18.5,11.7
147,2025-01-09 18:05:00,2025-01-09,395,Dine-in,Main Hall,Online,Completed,9.5,0.0,0.0,9.5,6.8
148,2025-01-09 13:25:00,2025-01-09,268,Takeaway,Online,Cash,Completed,41.0,2.05,0.0,38.95,21.15
149,2025-01-09 12:00:00,2025-01-09,450,Takeaway,Online,Card,Completed,25.5,0.0,0.0,25.5,16.3
150,2025-01-09 19:10:00,2025-01-09,143,Delivery,Online,Cash,Completed,25.5,0.0,3.5,29.0,19.7
151,2025-01-09 13:00:00,2025-01-09,28,Dine-in,Bar,Card,Completed,52.0,2.6,0.0,49.4,30.4
152,2025-01-09 13:10:00,2025-01-09,357,Dine-in,Bar,Cash,Completed,16.3,0.0,0.0,16.3,10.6
153,2025-01-09 21:35:00,2025-01-09,375,Takeaway,Online,Card,Completed,37.0,0.0,0.0,37.0,24.1
154,2025-01-09 11:00:00,2025-01-09,75,Takeaway,Online,Card,Completed,30.0,0.0,0.0,30.0,19.4
155,2025-01-09 18:35:00,2025-01-09,321,Dine-in,Terrace,Card,Completed,5.5,0.0,0.0,5.5,3.7
156,2025-01-09 15:10:00,2025-01-09,479,Delivery,Online,Cash,Completed,11.0,0.0,3.0,14.0,9.8
157,2025-01-09 21:20:00,2025-01-09,486,Takeaway,Online,Online,Completed,11.0,0.0,0.0,11.0,6.8
158,2025-01-09 21:35:00,2025-01-09,67,Delivery,Online,Card,Completed,9.0,0.0,0.0,9.0,6.2
159,2025-01-09 11:05:00,2025-01-09,262,Delivery,Online,Cash,Completed,33.0,0.0,3.0,36.0,23.4
160,2025-01-09 14:05:00,2025-01-09,201,Delivery,Online,Card,Completed,39.0,0.0,3.0,42.0,26.9
161,2025-01-09 18:50:00,2025-01-09,42,Delivery,Online,Online,Completed,2.8,0.0,0.0,2.8,2.2
162,2025-01-09 09:10:00,2025-01-09,359,Takeaway,Online,Card,Completed,56.5,5.65,0.0,50.85,28.25
163,2025-01-10 20:20:00,2025-01-10,165,Delivery,Online,Card,Completed,30.0,0.0,0.0,30.0,19.2
164,2025-01-10 10:15:00,2025-01-10,246,Delivery,Online,Card,Completed,51.5,5.15,0.0,46.35,24.95
165,2025-01-10 11:30:00,2025-01-10,228,Dine-in,Bar,Cash,Completed,25.5,0.0,0.0,25.5,17.2
166,2025-01-10 18:45:00,2025-01-10,239,Takeaway,Online,Online,Completed,29.0,0.0,0.0,29.0,18.1
167,2025-01-10 12:40:00,2025-01-10,352,Dine-in,Terrace,Online,Completed,49.5,4.95,0.0,44.55,24.15
168,2025-01-10 15:35:00,2025-01-10,22,Takeaway,Online,Card,Completed,31.3,0.0,0.0,31.3,19.6
169,2025-01-10 13:45:00,2025-01-10,222,Dine-in,Terrace,Cash,Cancelled,0.0,0.0,0.0,0.0,0.0
170,2025-01-10 13:45:00,2025-01-10,399,Dine-in,Main Hall,Card,Completed,42.0,2.1,0.0,39.9,24.5
171,2025-01-10 18:55:00,2025-01-10,358,Dine-in,Main Hall,Card,Completed,56.0,2.8,0.0,53.2,29.6
172,2025-01-10 21:15:00,2025-01-10,162,Delivery,Online,Card,Completed,11.5,0.0,0.0,11.5,7.5
173,2025-01-10 18:20:00,2025-01-10,290,Dine-in,Bar,Online,Completed,33.8,0.0,0.0,33.8,22.8
174,2025-01-10 10:15:00,2025-01-10,31,Delivery,Online,Card,Completed,23.5,0.0,0.0,23.5,14.4
175,2025-01-10 12:05:00,2025-01-10,412,Dine-in,Main Hall,Card,Completed,40.5,2.02,0.0,38.48,21.68
176,2025-01-10 08:35:00,2025-01-10,290,Dine-in,Bar,Card,Completed,4.5,0.0,0.0,4.5,3.2
177,2025-01-11 18:20:00,2025-01-11,96,Takeaway,Online,Card,Completed,32.5,0.0,0.0,32.5,20.4
178,2025-01-11 09:20:00,2025-01-11,65,Dine-in,Bar,Card,Completed,60.5,3.03,0.0,57.47,34.97
179,2025-01-11 13:35:00,2025-01-11,471,Takeaway,Online,Online,Completed,26.6,0.0,0.0,26.6,17.2
180,2025-01-11 10:15:00,2025-01-11,273,Takeaway,Online,Card,Completed,10.5,0.0,0.0,10.5,7.5
181,2025-01-11 21:50:00,2025-01-11,304,Dine-in,Bar,Card,Completed,16.5,0.0,0.0,16.5,11.0
182,2025-01-11 19:15:00,2025-01-11,455,Delivery,Online,Card,Completed,58.5,5.85,0.0,52.65,31.05
183,2025-01-11 15:40:00,2025-01-11,264,Takeaway,Online,Card,Completed,9.0,0.0,0.0,9.0,6.4
184,2025-01-11 12:10:00,2025-01-11,356,Dine-in,Terrace,Card,Completed,18.5,0.0,0.0,18.5,12.6
185,2025-01-11 20:05:00,2025-01-11,165,Delivery,Online,Card,Completed,43.0,2.15,0.0,40.85,21.95
186,2025-01-11 10:20:00,2025-01-11,228,Dine-in,Bar,Card,Completed,38.5,0.0,0.0,38.5,24.6
187,2025-01-11 19:45:00,2025-01-11,233,Dine-in,Terrace,Online,Completed,2.8,0.0,0.0,2.8,2.2
188,2025-01-11 15:35:00,2025-01-11,7,Dine-in,Bar,Card,Completed,4.0,0.0,0.0,4.0,2.9
189,2025-01-11 13:30:00,2025-01-11,228,Delivery,Online,Card,Completed,53.0,2.65,0.0,50.35,30.35
190,2025-01-11 21:40:00,2025-01-11,428,Dine-in,Bar,Online,Completed,36.0,0.0,0.0,36.0,23.5
191,2025-01-11 17:05:00,2025-01-11,25,Delivery,Online,Card,Completed,2.8,0.0,3.5,6.3,5.7
192,2025-01-11 18:30:00,2025-01-11,459,Dine-in,Bar,Card,Completed,45.0,2.25,0.0,42.75,23.35
193,2025-01-11 14:20:00,2025-01-11,434,Dine-in,Main Hall,Online,Completed,23.8,0.0,0.0,23.8,12.7
194,2025-01-11 10:50:00,2025-01-11,210,Takeaway,Online,Card,Completed,24.0,0.0,0.0,24.0,15.1
195,2025-01-11 20:45:00,2025-01-11,161,Dine-in,Bar,Online,Cancelled,0.0,0.0,0.0,0.0,0.0
196,2025-01-11 21:50:00,2025-01-11,332,Dine-in,Terrace,Online,Completed,56.0,5.6,0.0,50.4,30.1
197,2025-01-12 18:10:00,2025-01-12,418,Delivery,Online,Online,Completed,21.5,0.0,2.5,24.0,15.9
198,2025-01-12 16:50:00,2025-01-12,242,Delivery,Online,Cash,Completed,23.0,0.0,0.0,23.0,13.8
199,2025-01-12 15:20:00,2025-01-12,255,Takeaway,Online,Card,Completed,32.0,0.0,0.0,32.0,20.9
200,2025-01-12 12:45:00,2025-01-12,349,Takeaway,Online,Online,Completed,10.0,0.0,0.0,10.0,6.1
201,2025-01-12 15:35:00,2025-01-12,34,Delivery,Online,Online,Completed,40.0,0.0,0.0,40.0,26.3
202,2025-01-12 21:35:00,2025-01-12,116,Dine-in,Terrace,Online,Completed,30.0,0.0,0.0,30.0,20.0
203,2025-01-12 14:25:00,2025-01-12,343,Takeaway,Online,Online,Completed,9.5,0.0,0.0,9.5,6.3
204,2025-01-12 19:10:00,2025-01-12,237,Dine-in,Terrace,Card,Completed,18.6,0.0,0.0,18.6,12.9
205,2025-01-12 14:35:00,2025-01-12,327,Delivery,Online,Card,Completed,29.5,0.0,3.0,32.5,21.6
206,2025-01-12 13:30:00,2025-01-12,475,Dine-in,Bar,Card,Completed,38.0,0.0,0.0,38.0,24.4
207,2025-01-12 09:05:00,2025-01-12,4,Dine-in,Terrace,Cash,Completed,30.5,0.0,0.0,30.5,17.6
208,2025-01-12 13:05:00,2025-01-12,188,Takeaway,Online,Cash,Completed,39.1,0.0,0.0,39.1,26.1
209,2025-01-12 21:30:00,2025-01-12,239,Dine-in,Bar,Online,Completed,21.5,0.0,0.0,21.5,14.0
210,2025-01-12 20:00:00,2025-01-12,39,Dine-in,Bar,Card,Completed,19.5,0.0,0.0,19.5,12.8
211,2025-01-12 21:35:00,2025-01-12,255,Takeaway,Online,Cash,Completed,26.0,0.0,0.0,26.0,17.0
212,2025-01-12 14:15:00,2025-01-12,241,Takeaway,Online,Card,Completed,21.5,0.0,0.0,21.5,13.6
213,2025-01-12 17:45:00,2025-01-12,1,Dine-in,Terrace,Online,Completed,66.5,6.65,0.0,59.85,34.65
214,2025-01-12 18:00:00,2025-01-12,175,Dine-in,Main Hall,Card,Completed,31.0,0.0,0.0,31.0,19.3
215,2025-01-12 13:10:00,2025-01-12,339,Delivery,Online,Card,Completed,54.0,2.7,0.0,51.3,29.1
216,2025-01-12 21:35:00,2025-01-12,336,Delivery,Online,Online,Completed,25.5,0.0,0.0,25.5,17.1
217,2025-01-12 21:35:00,2025-01-12,371,Takeaway,Online,Card,Completed,32.0,0.0,0.0,32.0,20.8
218,2025-01-12 11:50:00,2025-01-12,464,Dine-in,Bar,Card,Completed,2.8,0.0,0.0,2.8,2.2
219,2025-01-12 20:55:00,2025-01-12,401,Delivery,Online,Online,Completed,30.5,0.0,0.0,30.5,19.9
220,2025-01-12 12:40:00,2025-01-12,141,Delivery,Online,Online,Completed,5.0,0.0,0.0,5.0,3.6
221,2025-01-12 08:30:00,2025-01-12,280,Dine-in,Main Hall,Card,Completed,75.5,3.78,0.0,71.72,42.92
222,2025-01-12 12:05:00,2025-01-12,387,Dine-in,Terrace,Card,Completed,36.5,0.0,0.0,36.5,22.2
223,2025-01-12 21:50:00,2025-01-12,157,Delivery,Online,Cash,Completed,7.5,0.0,0.0,7.5,5.3
224,2025-01-12 20:35:00,2025-01-12,406,Delivery,Online,Online,Completed,28.5,0.0,3.0,31.5,21.3
225,2025-01-12 21:20:00,2025-01-12,154,Dine-in,Bar,Cash,Completed,13.5,0.0,0.0,13.5,9.0
226,2025-01-12 19:30:00,2025-01-12,414,Takeaway,Online,Card,Completed,24.0,0.0,0.0,24.0,15.0
227,2025-01-12 20:35:00,2025-01-12,83,Delivery,Online,Card,Completed,44.0,4.4,3.5,43.1,26.4
