order_item_id,order_id,menu_item_id,item_name,category,quantity,unit_price_eur,unit_cost_eur,line_revenue_eur,line_cost_eur,line_profit_eur
32,14,13,Grilled Salmon,Main,1,16.5,7.8,16.5,7.8,8.7
33,15,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
34,15,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
35,15,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
36,16,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
37,16,17,Chocolate Cake,Dessert,2,5.0,1.7,10.0,3.4,6.6
38,17,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
39,17,17,Chocolate Cake,Dessert,3,5.0,1.7,15.0,5.1,9.9
40,17,5,Penne Alfredo,Pasta,2,11.0,4.2,22.0,8.4,13.6
41,17,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
42,18,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
43,18,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
44,19,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
45,19,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
46,19,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
47,19,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
48,20,15,Chicken Wrap,Main,2,9.5,3.6,19.0,7.2,11.8
49,21,10,Beef Burger,Burger,2,11.5,4.6,23.0,9.2,13.8
50,21,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
51,21,2,Pepperoni Pizza,Pizza,2,11.5,4.0,23.0,8.0,15.0
52,21,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
53,22,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
54,23,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
55,23,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
56,24,16,Tiramisu,Dessert,3,5.5,1.9,16.5,5.7,10.8
57,24,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
58,24,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
59,25,14,Steak Plate,Main,2,21.0,10.5,42.0,21.0,21.0
60,25,11,Fries,Sides,3,4.0,1.1,12.0,3.3,8.7
61,26,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
62,26,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
63,26,2,Pepperoni Pizza,Pizza,2,11.5,4.0,23.0,8.0,15.0
64,27,3,Veggie Pizza,Pizza,1,10.5,3.8,0.0,3.8,0.0
65,27,20,Lemonade,Drinks,1,3.0,0.9,0.0,0.9,0.0
66,27,17,Chocolate Cake,Dessert,3,5.0,1.7,0.0,5.1,0.0
67,27,10,Beef Burger,Burger,2,11.5,4.6,0.0,9.2,0.0
68,28,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
69,28,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
70,28,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
71,29,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
72,29,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
73,29,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
74,30,13,Grilled Salmon,Main,2,16.5,7.8,33.0,15.6,17.4
75,30,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
76,30,18,Cheesecake,Dessert,2,5.5,1.8,11.0,3.6,7.4
77,30,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
78,31,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
79,31,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
80,31,9,Chicken Burger,Burger,2,10.0,3.9,20.0,7.8,12.2
81,32,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
82,32,10,Beef Burger,Burger,2,11.5,4.6,23.0,9.2,13.8
83,32,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
84,32,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
85,33,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
86,33,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
87,33,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
88,33,13,Grilled Salmon,Main,1,16.5,7.8,16.5,7.8,8.7
89,33,3,Veggie Pizza,Pizza,2,10.5,3.8,21.0,7.6,13.4
90,34,18,Cheesecake,Dessert,2,5.5,1.8,11.0,3.6,7.4
91,34,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
92,34,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
93,35,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
94,35,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
95,35,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
96,35,11,Fries,Sides,3,4.0,1.1,12.0,3.3,8.7
97,36,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
98,36,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
99,36,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
100,36,15,Chicken Wrap,Main,2,9.5,3.6,19.0,7.2,11.8
101,37,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
102,37,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
103,37,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
104,37,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
105,37,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
106,38,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
107,39,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
108,39,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
109,39,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
110,39,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
111,39,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
112,40,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
113,40,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
114,40,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
115,40,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
116,40,18,Cheesecake,Dessert,2,5.5,1.8,11.0,3.6,7.4
117,41,12,Garlic Bread,Sides,3,4.5,1.3,13.5,3.9,9.6
118,42,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
119,42,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
120,42,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
121,42,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
122,43,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
123,43,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
124,43,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
125,44,12,Garlic Bread,Sides,2,4.5,1.3,9.0,2.6,6.4
126,44,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
127,45,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
128,45,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
129,45,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
130,45,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
131,46,8,Greek Salad,Salad,1,9.0,3.1,0.0,3.1,0.0
132,46,21,Coffee,Drinks,1,2.8,0.6,0.0,0.6,0.0
133,47,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
134,47,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
135,47,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
136,48,20,Lemonade,Drinks,1,3.0,0.9,0.0,0.9,0.0
137,48,5,Penne Alfredo,Pasta,1,11.0,4.2,0.0,4.2,0.0
138,49,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
139,49,7,Caesar Salad,Salad,2,8.5,2.9,17.0,5.8,11.2
140,49,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
141,49,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
142,50,10,Beef Burger,Burger,3,11.5,4.6,34.5,13.8,20.7
143,50,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
144,50,14,Steak Plate,Main,2,21.0,10.5,42.0,21.0,21.0
145,51,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
146,51,6,Lasagna,Pasta,2,13.5,5.1,27.0,10.2,16.8
147,51,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
148,52,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
149,52,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
150,53,8,Greek Salad,Salad,2,9.0,3.1,18.0,6.2,11.8
151,53,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
152,54,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
153,54,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
154,54,17,Chocolate Cake,Dessert,2,5.0,1.7,10.0,3.4,6.6
155,55,5,Penne Alfredo,Pasta,2,11.0,4.2,22.0,8.4,13.6
156,56,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
157,57,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
158,57,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
159,57,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
160,58,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
161,59,6,Lasagna,Pasta,2,13.5,5.1,27.0,10.2,16.8
162,60,18,Cheesecake,Dessert,1,5.5,1.8,0.0,1.8,0.0
163,60,18,Cheesecake,Dessert,2,5.5,1.8,0.0,3.6,0.0
164,61,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
165,61,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
166,61,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
167,61,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
168,62,13,Grilled Salmon,Main,1,16.5,7.8,16.5,7.8,8.7
169,62,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
170,62,21,Coffee,Drinks,2,2.8,0.6,5.6,1.2,4.4
171,62,13,Grilled Salmon,Main,2,16.5,7.8,33.0,15.6,17.4
172,62,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
173,63,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
174,64,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
175,64,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
176,64,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
177,65,8,Greek Salad,Salad,2,9.0,3.1,18.0,6.2,11.8
178,65,16,Tiramisu,Dessert,2,5.5,1.9,11.0,3.8,7.2
179,66,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
180,66,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
181,66,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
182,67,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
183,68,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
184,68,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
185,68,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
186,68,14,Steak Plate,Main,2,21.0,10.5,42.0,21.0,21.0
187,68,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
188,69,7,Caesar Salad,Salad,2,8.5,2.9,17.0,5.8,11.2
189,69,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
190,69,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
191,70,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
192,70,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
193,70,13,Grilled Salmon,Main,1,16.5,7.8,16.5,7.8,8.7
194,70,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
195,71,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
196,71,17,Chocolate Cake,Dessert,2,5.0,1.7,10.0,3.4,6.6
197,71,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
198,71,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
199,72,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
200,73,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
201,73,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
202,74,21,Coffee,Drinks,1,2.8,0.6,0.0,0.6,0.0
203,75,14,Steak Plate,Main,2,21.0,10.5,42.0,21.0,21.0
204,75,19,Coke,Drinks,2,2.5,0.7,5.0,1.4,3.6
205,75,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
206,75,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
207,75,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
208,76,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
209,76,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
210,76,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
211,77,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
212,77,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
213,78,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
214,78,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
215,78,16,Tiramisu,Dessert,3,5.5,1.9,16.5,5.7,10.8
216,79,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
217,79,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
218,79,1,Margherita Pizza,Pizza,2,9.5,3.2,19.0,6.4,12.6
219,79,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
220,79,20,Lemonade,Drinks,2,3.0,0.9,6.0,1.8,4.2
221,80,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
222,80,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
223,81,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
224,81,3,Veggie Pizza,Pizza,3,10.5,3.8,31.5,11.4,20.1
225,81,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
226,82,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
227,82,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
228,82,6,Lasagna,Pasta,2,13.5,5.1,27.0,10.2,16.8
229,83,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
230,83,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
231,83,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
232,83,1,Margherita Pizza,Pizza,2,9.5,3.2,19.0,6.4,12.6
233,83,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
234,84,15,Chicken Wrap,Main,2,9.5,3.6,19.0,7.2,11.8
235,85,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
236,85,18,Cheesecake,Dessert,1,5.5,1.8,5.5,1.8,3.7
237,85,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
238,85,11,Fries,Sides,2,4.0,1.1,8.0,2.2,5.8
239,85,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
240,86,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
241,86,3,Veggie Pizza,Pizza,2,10.5,3.8,21.0,7.6,13.4
242,87,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
243,87,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
244,87,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
245,88,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
246,88,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
247,88,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
248,88,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
249,89,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
250,90,13,Grilled Salmon,Main,1,16.5,7.8,0.0,7.8,0.0
251,90,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,0.0,4.5,0.0
252,90,17,Chocolate Cake,Dessert,1,5.0,1.7,0.0,1.7,0.0
253,90,3,Veggie Pizza,Pizza,1,10.5,3.8,0.0,3.8,0.0
254,91,9,Chicken Burger,Burger,2,10.0,3.9,20.0,7.8,12.2
255,91,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
256,92,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
257,92,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
258,93,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
259,93,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
260,93,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
261,94,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
262,95,14,Steak Plate,Main,3,21.0,10.5,63.0,31.5,31.5
263,95,4,Spaghetti Bolognese,Pasta,2,12.0,4.5,24.0,9.0,15.0
264,95,11,Fries,Sides,2,4.0,1.1,8.0,2.2,5.8
265,96,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
266,96,15,Chicken Wrap,Main,2,9.5,3.6,19.0,7.2,11.8
267,97,3,Veggie Pizza,Pizza,1,10.5,3.8,0.0,3.8,0.0
268,97,17,Chocolate Cake,Dessert,2,5.0,1.7,0.0,3.4,0.0
269,97,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,0.0,4.5,0.0
270,98,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
271,99,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
272,100,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
273,100,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
274,100,20,Lemonade,Drinks,2,3.0,0.9,6.0,1.8,4.2
275,101,13,Grilled Salmon,Main,3,16.5,7.8,49.5,23.4,26.1
276,101,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
277,102,13,Grilled Salmon,Main,1,16.5,7.8,0.0,7.8,0.0
278,102,18,Cheesecake,Dessert,2,5.5,1.8,0.0,3.6,0.0
279,102,2,Pepperoni Pizza,Pizza,1,11.5,4.0,0.0,4.0,0.0
280,102,21,Coffee,Drinks,1,2.8,0.6,0.0,0.6,0.0
281,102,15,Chicken Wrap,Main,1,9.5,3.6,0.0,3.6,0.0
282,103,7,Caesar Salad,Salad,2,8.5,2.9,17.0,5.8,11.2
283,103,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
284,103,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
285,104,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
286,104,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
287,104,10,Beef Burger,Burger,2,11.5,4.6,23.0,9.2,13.8
288,104,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
289,104,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
290,105,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
291,106,6,Lasagna,Pasta,2,13.5,5.1,27.0,10.2,16.8
292,107,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
293,107,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
294,107,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
295,107,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
296,108,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
297,108,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
298,108,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
299,108,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
300,109,22,Beer,Drinks,1,4.5,1.4,4.5,1.4,3.1
301,110,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
302,110,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
303,111,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
304,111,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
305,112,16,Tiramisu,Dessert,1,5.5,1.9,5.5,1.9,3.6
306,112,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
307,112,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
308,113,19,Coke,Drinks,1,2.5,0.7,2.5,0.7,1.8
309,113,10,Beef Burger,Burger,1,11.5,4.6,11.5,4.6,6.9
310,113,3,Veggie Pizza,Pizza,1,10.5,3.8,10.5,3.8,6.7
311,113,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
312,114,4,Spaghetti Bolognese,Pasta,1,12.0,4.5,12.0,4.5,7.5
313,114,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
314,114,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
315,114,22,Beer,Drinks,2,4.5,1.4,9.0,2.8,6.2
316,115,14,Steak Plate,Main,1,21.0,10.5,21.0,10.5,10.5
317,115,10,Beef Burger,Burger,2,11.5,4.6,23.0,9.2,13.8
318,116,18,Cheesecake,Dessert,2,5.5,1.8,11.0,3.6,7.4
319,117,15,Chicken Wrap,Main,1,9.5,3.6,9.5,3.6,5.9
320,118,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
321,118,14,Steak Plate,Main,3,21.0,10.5,63.0,31.5,31.5
322,119,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
323,119,12,Garlic Bread,Sides,1,4.5,1.3,4.5,1.3,3.2
324,120,1,Margherita Pizza,Pizza,1,9.5,3.2,9.5,3.2,6.3
325,120,17,Chocolate Cake,Dessert,1,5.0,1.7,5.0,1.7,3.3
326,120,2,Pepperoni Pizza,Pizza,2,11.5,4.0,23.0,8.0,15.0
327,121,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
328,121,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
329,121,2,Pepperoni Pizza,Pizza,1,11.5,4.0,11.5,4.0,7.5
330,122,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
331,123,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
332,123,21,Coffee,Drinks,1,2.8,0.6,2.8,0.6,2.2
333,124,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
334,124,14,Steak Plate,Main,2,21.0,10.5,42.0,21.0,21.0
335,124,9,Chicken Burger,Burger,1,10.0,3.9,10.0,3.9,6.1
336,125,6,Lasagna,Pasta,1,13.5,5.1,13.5,5.1,8.4
337,125,7,Caesar Salad,Salad,1,8.5,2.9,8.5,2.9,5.6
338,125,20,Lemonade,Drinks,1,3.0,0.9,3.0,0.9,2.1
339,126,4,Spaghetti Bolognese,Pasta,2,12.0,4.5,24.0,9.0,15.0
340,126,5,Penne Alfredo,Pasta,1,11.0,4.2,11.0,4.2,6.8
341,126,21,Coffee,Drinks,2,2.8,0.6,5.6,1.2,4.4
342,126,8,Greek Salad,Salad,1,9.0,3.1,9.0,3.1,5.9
343,127,18,Cheesecake,Dessert,3,5.5,1.8,16.5,5.4,11.1
344,127,11,Fries,Sides,1,4.0,1.1,4.0,1.1,2.9
345,128,4,Spaghetti Bolognese,Pasta,2,12.0,4.5,24.0,9.0,15.0
